"Choose «Yes» to hide labels, which contain text with variables equal to zero or not specified variables.","Choose «Yes» to hide labels, which contain text with variables equal to zero or not specified variables."
"Labels Alignment","Labels Alignment"
"Select how the labels should line up","Select how the labels should line up"
"Margin between Labels, px","Margin between Labels, px"
"Set the margin between labels in pixel","Set the margin between labels in pixel"
"`On Sale` Condition","`On Sale` Condition"
"Minimal Discount Amount","Minimal Discount Amount"
"Minimal Discount Percentage","Minimal Discount Percentage"
"Rounding of Discount Percentage","Rounding of Discount Percentage"
"`Is New` Condition","`Is New` Condition"
"Use `New from Date` and `New to Date`","Use `New from Date` and `New to Date`"
"Use `Creation Date`","Use `Creation Date`"
"It will not be used if previous setting set to `Yes` and product have `New from Date` or `New to Date` attributes.","It will not be used if previous setting set to `Yes` and product have `New from Date` or `New to Date` attributes."
"Product is New Threshold","Product is New Threshold"
"In days","In days"
"`Stock Status` Condition","`Stock Status` Condition"
"If the Item is Out of Stock Show Only 'Out of Stock' Label","If the Item is Out of Stock Show Only 'Out of Stock' Label"
"Choose Default Out of Stock Label","Choose Default Out of Stock Label"
"Amasty Product Label","Amasty Product Label"
"Indexed product/label association","Indexed product/label association"
"Indexed label/product association","Indexed label/product association"
Save,Save
Back,Back
General,General
Status,Status
"Show From","Show From"
To,To
Name,Name
Priority,Priority
"Use 0 to show label first, and 99 to show it last","Use 0 to show label first, and 99 to show it last"
"Hide if Label with Higher Priority is Already Applied","Hide if Label with Higher Priority is Already Applied"
"Use for Parent","Use for Parent"
"Display child`s label for parent (configurable and grouped products only)","Display child`s label for parent (configurable and grouped products only)"
"Store View","Store View"
"Customer Group","Customer Group"
"Product Page","Product Page"
"Text Only","Text Only"
"Select Shape","Select Shape"
"Upload Image","Upload Image"
"Label Type","Label Type"
"
                        Click <a href=""https://amasty.com/media/downloads/labels/labels-images.zip"">here</a> to download the packs of label images.
                        
                ","
                        Click <a href=""https://amasty.com/media/downloads/labels/labels-images.zip"">here</a> to download the packs of label images.
                        
                "
"Select Shape Color","Select Shape Color"
"Label Position","Label Position"
"Label Size","Label Size"
"Percent of the product image.","Percent of the product image."
"Label Text","Label Text"
"
                Variables: {PRICE} - regular price; {BR} - new line;
                {SAVE_PERCENT} - save percent; {SAVE_AMOUNT} - save amount;
                {SPECIAL_PRICE} - special price; {ATTR:code} - attribute value, e.g. {ATTR:color};
                {SPDL} - days left for special price; {SPHL} - hours left for special price;
                {NEW_FOR} - days ago the product was added; {SKU} - product SKU; {STOCK} - product qty (for product view page).
                ","
                Variables: {PRICE} - regular price; {BR} - new line;
                {SAVE_PERCENT} - save percent; {SAVE_AMOUNT} - save amount;
                {SPECIAL_PRICE} - special price; {ATTR:code} - attribute value, e.g. {ATTR:color};
                {SPDL} - days left for special price; {SPHL} - hours left for special price;
                {NEW_FOR} - days ago the product was added; {SKU} - product SKU; {STOCK} - product qty (for product view page).
                "
"Text Color","Text Color"
"Text Size","Text Size"
"Example: 12px;","Example: 12px;"
"Advanced Settings/CSS","Advanced Settings/CSS"
"Customize label and text styles with CSS parameters. Ex.: text-align: center; line-height: 20px; transform: rotate(-90deg);","Customize label and text styles with CSS parameters. Ex.: text-align: center; line-height: 20px; transform: rotate(-90deg);"
"Category Page","Category Page"
"Product Conditions","Product Conditions"
"Preview Products","Preview Products"
"Hide Products","Hide Products"
"Please click here to preview the product list.","Please click here to preview the product list."
Tooltip,Tooltip
Enabled,Enabled
"Tooltip Color","Tooltip Color"
"Tooltip Text Color","Tooltip Text Color"
"Tooltip Text","Tooltip Text"
"
                Variables: {PRICE} - regular price; {BR} - new line;{SAVE_PERCENT} - save percent;
                {SAVE_AMOUNT} - save amount; {SPECIAL_PRICE} - special price; {ATTR:code} - attribute value, e.g.
                {ATTR:color};{SPDL} - days left for special price; {SPHL} - hours left for special price;
                {NEW_FOR} - days ago the product was added; {SKU} - product SKU;
                {STOCK} - product qty (for product view page).
                ","
                Variables: {PRICE} - regular price; {BR} - new line;{SAVE_PERCENT} - save percent;
                {SAVE_AMOUNT} - save amount; {SPECIAL_PRICE} - special price; {ATTR:code} - attribute value, e.g.
                {ATTR:color};{SPDL} - days left for special price; {SPHL} - hours left for special price;
                {NEW_FOR} - days ago the product was added; {SKU} - product SKU;
                {STOCK} - product qty (for product view page).
                "
"Add New Label","Add New Label"
"Delete labels","Delete labels"
"Are you sure you want to delete the selected labels?","Are you sure you want to delete the selected labels?"
Enable,Enable
Disable,Disable
"Label ID","Label ID"
"Product Page Image","Product Page Image"
"Product Page Label Position","Product Page Label Position"
"Category Page Image","Category Page Image"
"Category Page Label Position","Category Page Label Position"
ID,ID
Thumbnail,Thumbnail
Type,Type
"Attribute Set","Attribute Set"
SKU,SKU
Price,Price
Visibility,Visibility
