"On Order: Contact us","Sur Commande : Contactez-nous"
"Max Supply Delay Before ""On Order""","Seuil maximum avant affichage ""Sur Commande"""
"If supply delay exceeds this value (in days), display ""On Order: Contact us"" instead of ""Available within X days"". Leave empty to disable this feature.","Si le délai d'approvisionnement dépasse cette valeur (en jours), afficher ""Sur Commande : Contactez-nous"" au lieu de ""Disponible sous X jours"". Laisser vide pour désactiver cette fonctionnalité."
